segment_name,product_name,pct
Jeans,"Black Straight Jeans - Womens",58.15
Jeans,"Cream Relaxed Jeans - Womens",17.79
Jeans,"Navy Oversized Jeans - Womens",24.06
Jacket,"Khaki Suit Jacket - Womens",23.51
Jacket,"Indigo Rain Jacket - Womens",19.45
Jacket,"Grey Fashion Jacket - Womens",57.03
Shirt,"White Tee Shirt - Mens",37.43
Shirt,"Blue Polo Shirt - Mens",53.60
Shirt,"Teal Button Up Shirt - Mens",8.98
Socks,"Navy Solid Socks - Mens",44.33
Socks,"Pink Fluro Polkadot Socks - Mens",35.50
Socks,"White Striped Socks - Mens",20.18
